	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__faginata
ASV_2	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	NA
ASV_3	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	s__vachelliae
ASV_4	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__ditissima
ASV_5	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Hannaella	s__surugaensis
ASV_6	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Asterosporium	s__hoffmannii
ASV_7	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Neohendersonia	s__kickxii
ASV_8	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Asterosporium	s__hoffmannii
ASV_9	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_10	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Coniothyriaceae	g__Coniothyrium	NA
ASV_11	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_12	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	NA
ASV_13	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Corynesporascaceae	g__Corynespora	NA
ASV_14	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Occultibambusaceae	g__Brunneofusispora	s__sinensis
ASV_15	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__solani
ASV_16	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	s__rosea
ASV_17	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Calosphaeriales	f__Pleurostomataceae	g__Pleurostoma	NA
ASV_18	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_19	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	NA	NA
ASV_20	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Asterosporium	s__hoffmannii
ASV_21	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	s__rosea
ASV_22	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Nigrograna	NA
ASV_23	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Occultibambusaceae	g__Brunneofusispora	s__sinensis
ASV_24	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Hydropisphaera	s__fungicola
ASV_25	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Biatora	s__printzenii
ASV_26	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Hyalorbilia	s__erythrostigma
ASV_27	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__taibaiensis
ASV_28	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_29	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__tricincta
ASV_30	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Hyaloriaceae	g__Stypella	s__variabilis
ASV_31	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Graphiaceae	g__Graphium	NA
ASV_32	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_33	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_34	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_35	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Meruliaceae	g__Phlebia	s__radiata
ASV_36	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Ascocoryne	s__cylichnium
ASV_37	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chloridium	NA
ASV_38	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Cadophora	s__melinii
ASV_39	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Biatriosporaceae	g__Biatriospora	NA
ASV_40	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariomycetes_ord_Incertae_sedis	f__Sordariomycetes_fam_Incertae_sedis	g__Oncopodiella	NA
ASV_41	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__taibaiensis
ASV_42	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Barbatosphaeria	s__neglecta
ASV_43	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideomycetes_ord_Incertae_sedis	f__Dothideomycetes_fam_Incertae_sedis	g__Radulidium	s__subulatum
ASV_44	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Togniniales	f__Togniniaceae	g__Phaeoacremonium	s__sicilianum
ASV_45	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	NA	NA
ASV_46	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Collophora	NA
ASV_47	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Cerrenaceae	g__Cerrena	NA
ASV_48	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Biatriosporaceae	g__Biatriospora	s__antibiotica
ASV_49	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Occultibambusaceae	g__Brunneofusispora	s__sinensis
ASV_50	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Microcera	s__larvarum
ASV_51	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_52	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_53	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	NA	NA	NA
ASV_54	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusicolla	s__septimanifiniscientiae
ASV_55	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Cryptococcus	s__gattii
ASV_56	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_57	NA	NA	NA	NA	NA	NA	NA
ASV_58	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_59	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Lecania	s__cyrtellina
ASV_60	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Acericola	s__italica
ASV_61	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Diaporthe	NA
ASV_62	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Diaporthaceae	g__Diaporthe	NA
ASV_63	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__parvum
ASV_64	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	s__olivacea
ASV_65	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Teratosphaeriaceae	g__Solicorynespora	NA
ASV_66	k__Fungi	p__Ascomycota	c__Eurotiomycetes	NA	NA	NA	NA
ASV_67	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_68	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_69	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariales_fam_Incertae_sedis	g__Phialemoniopsis	s__ocularis
ASV_70	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Togniniales	f__Togniniaceae	g__Phaeoacremonium	s__minimum
ASV_71	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	NA	NA
ASV_72	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Nigrograna	NA
ASV_73	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	NA
ASV_74	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Pragmopora	NA
ASV_75	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_76	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Lecania	s__croatica
ASV_77	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	NA	NA	NA
ASV_78	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	NA	NA
ASV_79	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Myriangiales	f__Elsinoaceae	NA	NA
ASV_80	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	NA	NA
ASV_81	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Lecania	s__croatica
ASV_82	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neosetophoma	s__rosigena
ASV_83	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	s__muscarium
ASV_84	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Rhinocladiella	NA
ASV_85	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	s__vachelliae
ASV_86	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Amorosiaceae	g__Angustimassarina	s__acerina
ASV_87	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Dissoconiaceae	g__Ramichloridium	s__apiculatum
ASV_88	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_89	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Dactylella	s__arnaudii
ASV_90	k__Metazoa	NA	NA	NA	NA	NA	NA
ASV_91	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	NA	NA	NA
ASV_92	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_93	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Neocucurbitaria	NA
ASV_94	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Microcera	s__rubra
ASV_95	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Cephalothecaceae	NA	NA
ASV_96	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Togniniales	f__Togniniaceae	g__Phaeoacremonium	NA
ASV_97	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Barbatosphaeria	s__barbirostris
ASV_98	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_99	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	NA
ASV_100	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Amorosiaceae	g__Angustimassarina	NA
ASV_101	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Nigrograna	s__cangshanensis
ASV_102	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_103	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_104	NA	NA	NA	NA	NA	NA	NA
ASV_105	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_106	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_107	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_108	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Thyridariaceae	NA	NA
ASV_109	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Lecanicillium	s__muscarium
ASV_110	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Togniniales	f__Togniniaceae	g__Phaeoacremonium	NA
ASV_111	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_112	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_113	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Pseudocosmospora	NA
ASV_114	NA	NA	NA	NA	NA	NA	NA
ASV_115	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	NA
ASV_116	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiales_fam_Incertae_sedis	g__Arthrocatena	s__tenebrio
ASV_117	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiales_fam_Incertae_sedis	g__Leptodontidium	s__trabinellum
ASV_118	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__furcatum
ASV_119	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	NA
ASV_120	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Neohendersonia	s__kickxii
ASV_121	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Cephalothecaceae	NA	NA
ASV_122	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_123	NA	NA	NA	NA	NA	NA	NA
ASV_124	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Calycina	s__claroflava
ASV_125	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Lecania	s__croatica
ASV_126	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__alternatum
ASV_127	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora	s__olivacea
ASV_128	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
